C2(X)	C2(Y)	C3(X)	C3(Y)	D1(X)	D1(Y)	D3(X)	D3(Y)	D4(X)	D4(Y)
6938.2	802.5	6938.2	355	6938.2	1455	6938.2	232.5	6938.2	1080
6938.201	412.5	6938.201	-37.5	6938.201	1207.5	6938.201	-202.5	6938.201	997.5
6938.202	167.5	6938.202	-287.5	6938.202	1110	6938.202	-542.5	6938.202	895
6938.203	-252.5	6938.203	-712.5	6938.203	1005	6938.203	-920	6938.203	765
6938.204	-482.5	6938.204	-972.5	6938.204	837.5	6938.204	-1227.5	6938.204	680
6938.205	-655	6938.205	-1335	6938.205	812.5	6938.205	-1510	6938.205	570
6938.206	-832.5	6938.206	-1632.5	6938.206	855	6938.206	-1735	6938.206	470
6938.207	-950	6938.207	-1895	6938.207	942.5	6938.207	-1942.5	6938.207	352.5
6938.208	-1140	6938.208	-2132.5	6938.208	1010	6938.208	-2215	6938.208	262.5
6938.209	-1327.5	6938.209	-2375	6938.209	1047.5	6938.209	-2412.5	6938.209	145
6938.21	-1530	6938.21	-2655	6938.21	965	6938.21	-2695	6938.21	80
6938.211	-1630	6938.211	-2882.5	6938.211	807.5	6938.211	-2895	6938.211	-15
6938.212	-1910	6938.212	-3162.5	6938.212	747.5	6938.212	-3187.5	6938.212	-97.5
6938.213	-2082.5	6938.213	-3472.5	6938.213	625	6938.213	-3425	6938.213	-192.5
6938.214	-2412.5	6938.214	-3810	6938.214	325	6938.214	-3735	6938.214	-262.5
6938.215	-2727.5	6938.215	-4100	6938.215	-107.5	6938.215	-4085	6938.215	-360
6938.216	-3042.5	6938.216	-4350	6938.216	-407.5	6938.216	-4490	6938.216	-435
6938.217	-3305	6938.217	-4685	6938.217	-777.5	6938.217	-4772.5	6938.217	-515
6938.218	-3687.5	6938.218	-4872.5	6938.218	-1117.5	6938.218	-5132.5	6938.218	-610
6938.219	-3930	6938.219	-5170	6938.219	-1510	6938.219	-5392.5	6938.219	-652.5
6938.22	-4230	6938.22	-5455	6938.22	-1720	6938.22	-5757.5	6938.22	-722.5
6938.221	-4582.5	6938.221	-5650	6938.221	-1875	6938.221	-6002.5	6938.221	-797.5
6938.222	-4740	6938.222	-5902.5	6938.222	-2037.5	6938.222	-6267.5	6938.222	-870
6938.223	-4930	6938.223	-6070	6938.223	-2242.5	6938.223	-6540	6938.223	-930
6938.224	-5115	6938.224	-6230	6938.224	-2332.5	6938.224	-6680	6938.224	-972.5
6938.225	-5137.5	6938.225	-6307.5	6938.225	-2122.5	6938.225	-6730	6938.225	-1032.5
6938.226	-5302.5	6938.226	-6545	6938.226	-2062.5	6938.226	-6862.5	6938.226	-1115
6938.227	-5280	6938.227	-6630	6938.227	-1910	6938.227	-6947.5	6938.227	-1167.5
6938.228	-5335	6938.228	-6750	6938.228	-1662.5	6938.228	-6972.5	6938.228	-1200
6938.229	-5322.5	6938.229	-6845	6938.229	-1562.5	6938.229	-7120	6938.229	-1262.5
6938.23	-5320	6938.23	-6955	6938.23	-1580	6938.23	-7180	6938.23	-1305
6938.231	-5435	6938.231	-7050	6938.231	-1500	6938.231	-7217.5	6938.231	-1352.5
6938.232	-5455	6938.232	-7262.5	6938.232	-1810	6938.232	-7352.5	6938.232	-1382.5
6938.233	-5522.5	6938.233	-7362.5	6938.233	-1822.5	6938.233	-7412.5	6938.233	-1442.5
