A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B2(X)	B2(Y)	B3(X)	B3(Y)
6938.219	-3897.5	6938.219	-4237.5	6938.219	-2795	6938.219	-7522.5	6938.219	-2587.5
6938.22	-4175	6938.22	-4547.5	6938.22	-2995	6938.22	-7740	6938.22	-2770
6938.221	-4410	6938.221	-4795	6938.221	-3187.5	6938.221	-8000	6938.221	-2962.5
6938.222	-4655	6938.222	-5055	6938.222	-3330	6938.222	-8182.5	6938.222	-3147.5
6938.223	-4842.5	6938.223	-5290	6938.223	-3510	6938.223	-8362.5	6938.223	-3302.5
6938.224	-5040	6938.224	-5477.5	6938.224	-3682.5	6938.224	-8535	6938.224	-3420
6938.225	-5082.5	6938.225	-5520	6938.225	-3860	6938.225	-8640	6938.225	-3592.5
6938.226	-5245	6938.226	-5712.5	6938.226	-3987.5	6938.226	-8777.5	6938.226	-3707.5
6938.227	-5292.5	6938.227	-5735	6938.227	-4097.5	6938.227	-8795	6938.227	-3825
6938.228	-5450	6938.228	-5835	6938.228	-4220	6938.228	-8875	6938.228	-3895
6938.229	-5565	6938.229	-5922.5	6938.229	-4377.5	6938.229	-9012.5	6938.229	-4057.5
6938.23	-5590	6938.23	-5947.5	6938.23	-4480	6938.23	-9095	6938.23	-4115
6938.231	-5717.5	6938.231	-5987.5	6938.231	-4610	6938.231	-9132.5	6938.231	-4197.5
6938.232	-5772.5	6938.232	-6155	6938.232	-4707.5	6938.232	-9245	6938.232	-4317.5
6938.233	-5880	6938.233	-6300	6938.233	-4812.5	6938.233	-9280	6938.233	-4382.5
6938.234	-6070	6938.234	-6412.5	6938.234	-4957.5	6938.234	-9332.5	6938.234	-4497.5
6938.235	-6287.5	6938.235	-6600	6938.235	-5072.5	6938.235	-9420	6938.235	-4675
6938.236	-6407.5	6938.236	-6772.5	6938.236	-5160	6938.236	-9562.5	6938.236	-4740
6938.237	-6597.5	6938.237	-7050	6938.237	-5277.5	6938.237	-9715	6938.237	-4847.5
6938.238	-6692.5	6938.238	-7272.5	6938.238	-5337.5	6938.238	-9790	6938.238	-4925
6938.239	-6907.5	6938.239	-7430	6938.239	-5457.5	6938.239	-9870	6938.239	-5012.5
6938.24	-7072.5	6938.24	-7612.5	6938.24	-5542.5	6938.24	-9985	6938.24	-5085
6938.241	-7042.5	6938.241	-7770	6938.241	-5617.5	6938.241	-10040	6938.241	-5167.5
6938.242	-7222.5	6938.242	-7842.5	6938.242	-5695	6938.242	-10080	6938.242	-5197.5
6938.243	-7237.5	6938.243	-7965	6938.243	-5750	6938.243	-10127.5	6938.243	-5232.5
6938.244	-7350	6938.244	-7987.5	6938.244	-5785	6938.244	-10112.5	6938.244	-5255
6938.245	-7320	6938.245	-7975	6938.245	-5802.5	6938.245	-10052.5	6938.245	-5325
6938.246	-7297.5	6938.246	-7907.5	6938.246	-5845	6938.246	-10025	6938.246	-5327.5
6938.247	-7220	6938.247	-7865	6938.247	-5872.5	6938.247	-9972.5	6938.247	-5295
6938.248	-7270	6938.248	-7835	6938.248	-5905	6938.248	-9942.5	6938.248	-5325
6938.249	-7227.5	6938.249	-7875	6938.249	-5945	6938.249	-9837.5	6938.249	-5355
6938.25	-7132.5	6938.25	-7805	6938.25	-5965	6938.25	-9800	6938.25	-5375
6938.251	-7195	6938.251	-7742.5	6938.251	-6005	6938.251	-9762.5	6938.251	-5407.5
6938.252	-7322.5	6938.252	-7835	6938.252	-6020	6938.252	-9770	6938.252	-5377.5
6938.253	-7242.5	6938.253	-7815	6938.253	-6047.5	6938.253	-9732.5	6938.253	-5415
6938.254	-7282.5	6938.254	-7782.5	6938.254	-6097.5	6938.254	-9717.5	6938.254	-5445
6938.255	-7485	6938.255	-7980	6938.255	-6080	6938.255	-9672.5	6938.255	-5462.5
6938.256	-7465	6938.256	-8022.5	6938.256	-6097.5	6938.256	-9670	6938.256	-5470
6938.257	-7517.5	6938.257	-8130	6938.257	-6110	6938.257	-9685	6938.257	-5477.5
6938.258	-7620	6938.258	-8250	6938.258	-6125	6938.258	-9707.5	6938.258	-5520
6938.259	-7587.5	6938.259	-8425	6938.259	-6177.5	6938.259	-9787.5	6938.259	-5522.5
6938.26	-7660	6938.26	-8472.5	6938.26	-6142.5	6938.26	-9787.5	6938.26	-5512.5
6938.261	-7790	6938.261	-8570	6938.261	-6172.5	6938.261	-9752.5	6938.261	-5510
6938.262	-7692.5	6938.262	-8650	6938.262	-6207.5	6938.262	-9762.5	6938.262	-5542.5
6938.263	-7725	6938.263	-8630	6938.263	-6172.5	6938.263	-9677.5	6938.263	-5485
6938.264	-7702.5	6938.264	-8660	6938.264	-6155	6938.264	-9637.5	6938.264	-5462.5
6938.265	-7615	6938.265	-8537.5	6938.265	-6167.5	6938.265	-9522.5	6938.265	-5455
6938.266	-7640	6938.266	-8535	6938.266	-6135	6938.266	-9442.5	6938.266	-5405
6938.267	-7555	6938.267	-8435	6938.267	-6120	6938.267	-9367.5	6938.267	-5387.5
