F4(X)	F4(Y)	F5(X)	F5(Y)	G2(X)	G2(Y)	G3(X)	G3(Y)
6938.257	-5525	6938.257	-20715	6938.257	-4317.5	6938.257	-9292.5
6938.258	-5525	6938.258	-20800	6938.258	-4487.5	6938.258	-9332.5
6938.259	-5570	6938.259	-20900	6938.259	-4575	6938.259	-9372.5
6938.26	-5537.5	6938.26	-20892.5	6938.26	-4675	6938.26	-9397.5
6938.261	-5505	6938.261	-20930	6938.261	-4762.5	6938.261	-9400
6938.262	-5527.5	6938.262	-20917.5	6938.262	-4787.5	6938.262	-9357.5
6938.263	-5475	6938.263	-20865	6938.263	-4760	6938.263	-9320
6938.264	-5455	6938.264	-20985	6938.264	-4730	6938.264	-9257.5
6938.265	-5442.5	6938.265	-20937.5	6938.265	-4712.5	6938.265	-9152.5
6938.266	-5397.5	6938.266	-20940	6938.266	-4692.5	6938.266	-9105
6938.267	-5395	6938.267	-20952.5	6938.267	-4535	6938.267	-9010
6938.268	-5337.5	6938.268	-20810	6938.268	-4417.5	6938.268	-8887.5
6938.269	-5305	6938.269	-20747.5	6938.269	-4380	6938.269	-8785
6938.27	-5255	6938.27	-20715	6938.27	-4255	6938.27	-8705
6938.271	-5270	6938.271	-20715	6938.271	-4172.5	6938.271	-8587.5
6938.272	-5217.5	6938.272	-20717.5	6938.272	-4165	6938.272	-8532.5
6938.273	-5210	6938.273	-20685	6938.273	-4105	6938.273	-8522.5
6938.274	-5147.5	6938.274	-20727.5	6938.274	-4112.5	6938.274	-8485
6938.275	-5132.5	6938.275	-20755	6938.275	-4137.5	6938.275	-8437.5
6938.276	-5105	6938.276	-20765	6938.276	-4227.5	6938.276	-8437.5
6938.277	-5152.5	6938.277	-20795	6938.277	-4292.5	6938.277	-8462.5
6938.278	-5107.5	6938.278	-20807.5	6938.278	-4395	6938.278	-8447.5
6938.279	-5110	6938.279	-20775	6938.279	-4485	6938.279	-8392.5
6938.28	-5047.5	6938.28	-20800	6938.28	-4572.5	6938.28	-8417.5
6938.281	-5025	6938.281	-20682.5	6938.281	-4527.5	6938.281	-8312.5
6938.282	-4982.5	6938.282	-20662.5	6938.282	-4550	6938.282	-8312.5
6938.283	-4967.5	6938.283	-20647.5	6938.283	-4520	6938.283	-8230
6938.284	-4917.5	6938.284	-20575	6938.284	-4482.5	6938.284	-8152.5
6938.285	-4872.5	6938.285	-20527.5	6938.285	-4442.5	6938.285	-8095
6938.286	-4832.5	6938.286	-20505	6938.286	-4322.5	6938.286	-7947.5
6938.287	-4777.5	6938.287	-20465	6938.287	-4247.5	6938.287	-7827.5
6938.288	-4725	6938.288	-20397.5	6938.288	-4052.5	6938.288	-7765
6938.289	-4665	6938.289	-20382.5	6938.289	-3985	6938.289	-7642.5
6938.29	-4650	6938.29	-20285	6938.29	-3862.5	6938.29	-7490
6938.291	-4655	6938.291	-20302.5	6938.291	-3780	6938.291	-7402.5
6938.292	-4567.5	6938.292	-20257.5	6938.292	-3780	6938.292	-7300
6938.293	-4552.5	6938.293	-20212.5	6938.293	-3695	6938.293	-7247.5
6938.294	-4527.5	6938.294	-20127.5	6938.294	-3595	6938.294	-7182.5
6938.295	-4502.5	6938.295	-20255	6938.295	-3717.5	6938.295	-7160
6938.296	-4487.5	6938.296	-20192.5	6938.296	-3747.5	6938.296	-7150
6938.297	-4460	6938.297	-20160	6938.297	-3747.5	6938.297	-7092.5
6938.298	-4460	6938.298	-20262.5	6938.298	-3797.5	6938.298	-7037.5
6938.299	-4440	6938.299	-20155	6938.299	-4012.5	6938.299	-7035
6938.3	-4427.5	6938.3	-20087.5	6938.3	-3950	6938.3	-7032.5
6938.301	-4410	6938.301	-20045	6938.301	-4105	6938.301	-6962.5
6938.302	-4340	6938.302	-20025	6938.302	-4077.5	6938.302	-6852.5
6938.303	-4327.5	6938.303	-20042.5	6938.303	-4082.5	6938.303	-6815
6938.304	-4257.5	6938.304	-19917.5	6938.304	-4087.5	6938.304	-6687.5
6938.305	-4232.5	6938.305	-19895	6938.305	-3995	6938.305	-6597.5
6938.306	-4227.5	6938.306	-19885	6938.306	-3955	6938.306	-6447.5
6938.307	-4152.5	6938.307	-19770	6938.307	-3787.5	6938.307	-6322.5
6938.308	-4095	6938.308	-19865	6938.308	-3617.5	6938.308	-6225
6938.309	-4050	6938.309	-19770	6938.309	-3472.5	6938.309	-6117.5
6938.31	-4017.5	6938.31	-19787.5	6938.31	-3432.5	6938.31	-6030
6938.311	-3980	6938.311	-19682.5	6938.311	-3312.5	6938.311	-5887.5
6938.312	-3942.5	6938.312	-19635	6938.312	-3265	6938.312	-5757.5
6938.313	-3917.5	6938.313	-19657.5	6938.313	-3197.5	6938.313	-5647.5
6938.314	-3887.5	6938.314	-19562.5	6938.314	-3177.5	6938.314	-5642.5
6938.315	-3882.5	6938.315	-19575	6938.315	-3187.5	6938.315	-5542.5
6938.316	-3867.5	6938.316	-19510	6938.316	-3257.5	6938.316	-5525
6938.317	-3847.5	6938.317	-19517.5	6938.317	-3292.5	6938.317	-5580
6938.318	-3835	6938.318	-19592.5	6938.318	-3405	6938.318	-5527.5
6938.319	-3827.5	6938.319	-19562.5	6938.319	-3505	6938.319	-5457.5
6938.32	-3810	6938.32	-19517.5	6938.32	-3592.5	6938.32	-5547.5
6938.321	-3810	6938.321	-19495	6938.321	-3602.5	6938.321	-5497.5
6938.322	-3757.5	6938.322	-19527.5	6938.322	-3620	6938.322	-5360
6938.323	-3682.5	6938.323	-19345	6938.323	-3647.5	6938.323	-5372.5
6938.324	-3687.5	6938.324	-19202.5	6938.324	-3632.5	6938.324	-5302.5
6938.325	-3630	6938.325	-19262.5	6938.325	-3512.5	6938.325	-5252.5
6938.326	-3577.5	6938.326	-19185	6938.326	-3455	6938.326	-5140
6938.327	-3527.5	6938.327	-19187.5	6938.327	-3342.5	6938.327	-5117.5
6938.328	-3462.5	6938.328	-19052.5	6938.328	-3195	6938.328	-4992.5
6938.329	-3405	6938.329	-19102.5	6938.329	-3100	6938.329	-4897.5
6938.33	-3380	6938.33	-18952.5	6938.33	-2947.5	6938.33	-4797.5
6938.331	-3315	6938.331	-18972.5	6938.331	-2847.5	6938.331	-4682.5
6938.332	-3277.5	6938.332	-18810	6938.332	-2807.5	6938.332	-4617.5
6938.333	-3247.5	6938.333	-18785	6938.333	-2700	6938.333	-4597.5
6938.334	-3242.5	6938.334	-18770	6938.334	-2735	6938.334	-4490
6938.335	-3232.5	6938.335	-18625	6938.335	-2802.5	6938.335	-4492.5
6938.336	-3177.5	6938.336	-18697.5	6938.336	-2887.5	6938.336	-4435
6938.337	-3117.5	6938.337	-18755	6938.337	-2920	6938.337	-4400
6938.338	-3145	6938.338	-18712.5	6938.338	-3040	6938.338	-4385
6938.339	-3107.5	6938.339	-18730	6938.339	-3080	6938.339	-4330
