H2(X)	H2(Y)	H3(X)	H3(Y)	H4(X)	H4(Y)	J3(X)	J3(Y)
6938.258	-3682.5	6938.258	-12712.5	6938.258	-2395	6938.258	-2192.5
6938.259	-3830	6938.259	-12750	6938.259	-2390	6938.259	-2227.5
6938.26	-3932.5	6938.26	-12770	6938.26	-2442.5	6938.26	-2337.5
6938.261	-4015	6938.261	-12845	6938.261	-2472.5	6938.261	-2512.5
6938.262	-4015	6938.262	-12752.5	6938.262	-2417.5	6938.262	-2462.5
6938.263	-3967.5	6938.263	-12740	6938.263	-2415	6938.263	-2560
6938.264	-4000	6938.264	-12705	6938.264	-2367.5	6938.264	-2577.5
6938.265	-3857.5	6938.265	-12542.5	6938.265	-2275	6938.265	-2525
6938.266	-3787.5	6938.266	-12455	6938.266	-2295	6938.266	-2520
6938.267	-3705	6938.267	-12285	6938.267	-2225	6938.267	-2500
6938.268	-3575	6938.268	-12152.5	6938.268	-2182.5	6938.268	-2475
6938.269	-3455	6938.269	-12030	6938.269	-2165	6938.269	-2460
6938.27	-3402.5	6938.27	-11867.5	6938.27	-2097.5	6938.27	-2435
6938.271	-3322.5	6938.271	-11735	6938.271	-2142.5	6938.271	-2377.5
6938.272	-3310	6938.272	-11610	6938.272	-2110	6938.272	-2410
6938.273	-3340	6938.273	-11535	6938.273	-2110	6938.273	-2485
6938.274	-3310	6938.274	-11510	6938.274	-2080	6938.274	-2487.5
6938.275	-3320	6938.275	-11562.5	6938.275	-2035	6938.275	-2560
6938.276	-3415	6938.276	-11567.5	6938.276	-2110	6938.276	-2592.5
6938.277	-3535	6938.277	-11537.5	6938.277	-2110	6938.277	-2717.5
6938.278	-3680	6938.278	-11650	6938.278	-2122.5	6938.278	-2852.5
6938.279	-3680	6938.279	-11597.5	6938.279	-2097.5	6938.279	-2955
6938.28	-3787.5	6938.28	-11620	6938.28	-2122.5	6938.28	-2992.5
6938.281	-3905	6938.281	-11670	6938.281	-2112.5	6938.281	-3132.5
6938.282	-3740	6938.282	-11560	6938.282	-2065	6938.282	-3170
6938.283	-3817.5	6938.283	-11487.5	6938.283	-2077.5	6938.283	-3142.5
6938.284	-3772.5	6938.284	-11450	6938.284	-2022.5	6938.284	-3217.5
6938.285	-3670	6938.285	-11307.5	6938.285	-1952.5	6938.285	-3160
6938.286	-3515	6938.286	-11147.5	6938.286	-1945	6938.286	-3147.5
6938.287	-3377.5	6938.287	-11047.5	6938.287	-1960	6938.287	-3115
6938.288	-3187.5	6938.288	-10897.5	6938.288	-1895	6938.288	-3075
6938.289	-3142.5	6938.289	-10787.5	6938.289	-1835	6938.289	-3125
6938.29	-2970	6938.29	-10527.5	6938.29	-1817.5	6938.29	-3012.5
6938.291	-2937.5	6938.291	-10412.5	6938.291	-1820	6938.291	-2995
6938.292	-2895	6938.292	-10335	6938.292	-1810	6938.292	-3032.5
6938.293	-2927.5	6938.293	-10212.5	6938.293	-1805	6938.293	-3022.5
6938.294	-2857.5	6938.294	-10145	6938.294	-1762.5	6938.294	-2992.5
6938.295	-3040	6938.295	-10152.5	6938.295	-1780	6938.295	-3040
6938.296	-3042.5	6938.296	-10130	6938.296	-1792.5	6938.296	-3117.5
6938.297	-3140	6938.297	-10102.5	6938.297	-1815	6938.297	-3152.5
6938.298	-3247.5	6938.298	-10052.5	6938.298	-1817.5	6938.298	-3265
6938.299	-3337.5	6938.299	-10107.5	6938.299	-1837.5	6938.299	-3340
6938.3	-3400	6938.3	-10167.5	6938.3	-1842.5	6938.3	-3432.5
6938.301	-3482.5	6938.301	-10145	6938.301	-1885	6938.301	-3415
6938.302	-3400	6938.302	-10027.5	6938.302	-1797.5	6938.302	-3480
6938.303	-3470	6938.303	-10020	6938.303	-1837.5	6938.303	-3517.5
6938.304	-3410	6938.304	-9900	6938.304	-1795	6938.304	-3490
6938.305	-3240	6938.305	-9700	6938.305	-1777.5	6938.305	-3437.5
6938.306	-3155	6938.306	-9520	6938.306	-1780	6938.306	-3397.5
6938.307	-2985	6938.307	-9335	6938.307	-1667.5	6938.307	-3377.5
6938.308	-2852.5	6938.308	-9122.5	6938.308	-1657.5	6938.308	-3287.5
6938.309	-2807.5	6938.309	-8987.5	6938.309	-1607.5	6938.309	-3287.5
6938.31	-2725	6938.31	-8717.5	6938.31	-1577.5	6938.31	-3172.5
6938.311	-2617.5	6938.311	-8467.5	6938.311	-1555	6938.311	-3127.5
6938.312	-2550	6938.312	-8270	6938.312	-1560	6938.312	-3142.5
6938.313	-2545	6938.313	-8137.5	6938.313	-1545	6938.313	-3127.5
6938.314	-2487.5	6938.314	-8010	6938.314	-1557.5	6938.314	-3052.5
6938.315	-2635	6938.315	-7832.5	6938.315	-1527.5	6938.315	-3135
6938.316	-2690	6938.316	-7707.5	6938.316	-1567.5	6938.316	-3197.5
6938.317	-2785	6938.317	-7627.5	6938.317	-1542.5	6938.317	-3210
6938.318	-2895	6938.318	-7512.5	6938.318	-1620	6938.318	-3292.5
6938.319	-2985	6938.319	-7405	6938.319	-1555	6938.319	-3347.5
6938.32	-3102.5	6938.32	-7230	6938.32	-1622.5	6938.32	-3405
6938.321	-3105	6938.321	-7015	6938.321	-1635	6938.321	-3460
6938.322	-3105	6938.322	-6835	6938.322	-1635	6938.322	-3467.5
6938.323	-3035	6938.323	-6555	6938.323	-1630	6938.323	-3440
6938.324	-3062.5	6938.324	-6215	6938.324	-1565	6938.324	-3375
6938.325	-2970	6938.325	-5842.5	6938.325	-1540	6938.325	-3365
6938.326	-2817.5	6938.326	-5407.5	6938.326	-1465	6938.326	-3295
6938.327	-2700	6938.327	-4912.5	6938.327	-1475	6938.327	-3170
6938.328	-2507.5	6938.328	-4480	6938.328	-1372.5	6938.328	-3110
6938.329	-2517.5	6938.329	-4042.5	6938.329	-1417.5	6938.329	-3082.5
6938.33	-2392.5	6938.33	-3510	6938.33	-1305	6938.33	-2977.5
6938.331	-2275	6938.331	-2935	6938.331	-1315	6938.331	-2870
6938.332	-2155	6938.332	-2492.5	6938.332	-1327.5	6938.332	-2797.5
6938.333	-2097.5	6938.333	-1990	6938.333	-1300	6938.333	-2760
6938.334	-2197.5	6938.334	-1457.5	6938.334	-1337.5	6938.334	-2757.5
6938.335	-2150	6938.335	-1082.5	6938.335	-1390	6938.335	-2747.5
6938.336	-2247.5	6938.336	-690	6938.336	-1377.5	6938.336	-2737.5
6938.337	-2302.5	6938.337	-252.5	6938.337	-1350	6938.337	-2727.5
6938.338	-2402.5	6938.338	52.5	6938.338	-1415	6938.338	-2720
6938.339	-2535	6938.339	372.5	6938.339	-1405	6938.339	-2737.5
6938.34	-2602.5	6938.34	707.5	6938.34	-1455	6938.34	-2730
6938.341	-2597.5	6938.341	1060	6938.341	-1482.5	6938.341	-2710
6938.342	-2587.5	6938.342	1367.5	6938.342	-1472.5	6938.342	-2690
6938.343	-2567.5	6938.343	1782.5	6938.343	-1497.5	6938.343	-2685
6938.344	-2527.5	6938.344	2182.5	6938.344	-1455	6938.344	-2610
6938.345	-2405	6938.345	2710	6938.345	-1440	6938.345	-2462.5
6938.346	-2222.5	6938.346	3215	6938.346	-1390	6938.346	-2360
6938.347	-2140	6938.347	3702.5	6938.347	-1440	6938.347	-2277.5
6938.348	-1960	6938.348	4287.5	6938.348	-1350	6938.348	-2120
6938.349	-1847.5	6938.349	4830	6938.349	-1367.5	6938.349	-2012.5
6938.35	-1715	6938.35	5322.5	6938.35	-1345	6938.35	-1865
6938.351	-1635	6938.351	5892.5	6938.351	-1322.5	6938.351	-1742.5
6938.352	-1625	6938.352	6345	6938.352	-1287.5	6938.352	-1645
6938.353	-1460	6938.353	6822.5	6938.353	-1292.5	6938.353	-1565
6938.354	-1450	6938.354	7177.5	6938.354	-1317.5	6938.354	-1545
6938.355	-1485	6938.355	7492.5	6938.355	-1300	6938.355	-1435
6938.356	-1600	6938.356	7732.5	6938.356	-1340	6938.356	-1452.5
6938.357	-1595	6938.357	7900	6938.357	-1367.5	6938.357	-1420
6938.358	-1732.5	6938.358	7980	6938.358	-1342.5	6938.358	-1392.5
6938.359	-1727.5	6938.359	8067.5	6938.359	-1387.5	6938.359	-1377.5
6938.36	-1772.5	6938.36	8140	6938.36	-1405	6938.36	-1307.5
6938.361	-1857.5	6938.361	8217.5	6938.361	-1400	6938.361	-1255
6938.362	-1780	6938.362	8375	6938.362	-1377.5	6938.362	-1080
6938.363	-1775	6938.363	8390	6938.363	-1355	6938.363	-1045
6938.364	-1660	6938.364	8510	6938.364	-1340	6938.364	-890
6938.365	-1430	6938.365	8687.5	6938.365	-1317.5	6938.365	-695
6938.366	-1332.5	6938.366	8765	6938.366	-1290	6938.366	-632.5
6938.367	-1165	6938.367	8920	6938.367	-1225	6938.367	-380
6938.368	-985	6938.368	9062.5	6938.368	-1265	6938.368	-257.5
6938.369	-785	6938.369	9220	6938.369	-1160	6938.369	-155
6938.37	-672.5	6938.37	9292.5	6938.37	-1180	6938.37	37.5
6938.371	-482.5	6938.371	9495	6938.371	-1175	6938.371	202.5
6938.372	-462.5	6938.372	9632.5	6938.372	-1155	6938.372	365
6938.373	-387.5	6938.373	9665	6938.373	-1100	6938.373	425
6938.374	-232.5	6938.374	9815	6938.374	-1100	6938.374	555
6938.375	-285	6938.375	9775	6938.375	-1102.5	6938.375	595
6938.376	-350	6938.376	9845	6938.376	-1112.5	6938.376	817.5
6938.377	-352.5	6938.377	9717.5	6938.377	-1065	6938.377	822.5
6938.378	-305	6938.378	9682.5	6938.378	-1090	6938.378	922.5
6938.379	-375	6938.379	9635	6938.379	-1135	6938.379	1047.5
6938.38	-295	6938.38	9580	6938.38	-1180	6938.38	1065
6938.381	-325	6938.381	9530	6938.381	-1160	6938.381	1057.5
6938.382	-142.5	6938.382	9485	6938.382	-1125	6938.382	1225
6938.383	-132.5	6938.383	9525	6938.383	-1130	6938.383	1307.5
6938.384	62.5	6938.384	9582.5	6938.384	-1062.5	6938.384	1407.5
6938.385	170	6938.385	9587.5	6938.385	-1052.5	6938.385	1587.5
6938.386	380	6938.386	9662.5	6938.386	-1047.5	6938.386	1745
6938.387	525	6938.387	9690	6938.387	-1002.5	6938.387	1857.5
6938.388	817.5	6938.388	9757.5	6938.388	-925	6938.388	1897.5
6938.389	982.5	6938.389	9825	6938.389	-972.5	6938.389	2047.5
6938.39	1210	6938.39	9857.5	6938.39	-885	6938.39	2045
6938.391	1417.5	6938.391	9942.5	6938.391	-815	6938.391	2215
6938.392	1495	6938.392	9885	6938.392	-815	6938.392	2272.5
6938.393	1780	6938.393	9895	6938.393	-772.5	6938.393	2335
6938.394	1840	6938.394	9837.5	6938.394	-770	6938.394	2325
6938.395	1800	6938.395	9810	6938.395	-837.5	6938.395	2372.5
6938.396	1755	6938.396	9682.5	6938.396	-797.5	6938.396	2302.5
6938.397	1802.5	6938.397	9565	6938.397	-807.5	6938.397	2305
6938.398	1850	6938.398	9410	6938.398	-830	6938.398	2245
6938.399	1850	6938.399	9310	6938.399	-845	6938.399	2207.5
6938.4	1960	6938.4	9140	6938.4	-842.5	6938.4	2177.5
6938.401	1845	6938.401	9027.5	6938.401	-887.5	6938.401	2195
6938.402	1942.5	6938.402	8972.5	6938.402	-865	6938.402	2230
6938.403	2057.5	6938.403	8940	6938.403	-795	6938.403	2210
6938.404	2105	6938.404	8872.5	6938.404	-777.5	6938.404	2282.5
6938.405	2152.5	6938.405	8895	6938.405	-742.5	6938.405	2245
6938.406	2370	6938.406	8992.5	6938.406	-742.5	6938.406	2390
6938.407	2495	6938.407	8970	6938.407	-690	6938.407	2455
6938.408	2707.5	6938.408	9022.5	6938.408	-620	6938.408	2525
6938.409	2800	6938.409	9042.5	6938.409	-637.5	6938.409	2585
6938.41	3065	6938.41	9035	6938.41	-542.5	6938.41	2625
6938.411	3235	6938.411	9110	6938.411	-515	6938.411	2762.5
6938.412	3292.5	6938.412	9030	6938.412	-547.5	6938.412	2715
6938.413	3380	6938.413	9047.5	6938.413	-542.5	6938.413	2870
6938.414	3480	6938.414	9025	6938.414	-460	6938.414	2770
6938.415	3347.5	6938.415	8935	6938.415	-525	6938.415	2757.5
6938.416	3355	6938.416	8825	6938.416	-500	6938.416	2692.5
6938.417	3320	6938.417	8672.5	6938.417	-522.5	6938.417	2605
