E2(X)	E2(Y)	E3(X)	E3(Y)	E4(X)	E4(Y)	F1(X)	F1(Y)	F3(X)	F3(Y)
6938.21	-1380	6938.21	-4130	6938.21	-1202.5	6938.21	-762.5	6938.21	-6617.5
6938.211	-1490	6938.211	-4267.5	6938.211	-1427.5	6938.211	-995	6938.211	-6822.5
6938.212	-1677.5	6938.212	-4632.5	6938.212	-1582.5	6938.212	-1057.5	6938.212	-7055
6938.213	-1882.5	6938.213	-4825	6938.213	-1725	6938.213	-1195	6938.213	-7240
6938.214	-2052.5	6938.214	-5100	6938.214	-1895	6938.214	-1225	6938.214	-7410
6938.215	-2325	6938.215	-5397.5	6938.215	-2077.5	6938.215	-1522.5	6938.215	-7700
6938.216	-2652.5	6938.216	-5730	6938.216	-2272.5	6938.216	-1787.5	6938.216	-7960
6938.217	-2927.5	6938.217	-5970	6938.217	-2440	6938.217	-1812.5	6938.217	-8260
6938.218	-3207.5	6938.218	-6210	6938.218	-2617.5	6938.218	-2022.5	6938.218	-8530
6938.219	-3540	6938.219	-6487.5	6938.219	-2855	6938.219	-2252.5	6938.219	-8797.5
6938.22	-3817.5	6938.22	-6765	6938.22	-2927.5	6938.22	-2407.5	6938.22	-9097.5
6938.221	-4047.5	6938.221	-7012.5	6938.221	-3032.5	6938.221	-2435	6938.221	-9392.5
6938.222	-4185	6938.222	-7280	6938.222	-3132.5	6938.222	-2570	6938.222	-9525
6938.223	-4472.5	6938.223	-7412.5	6938.223	-3197.5	6938.223	-2675	6938.223	-9727.5
6938.224	-4577.5	6938.224	-7572.5	6938.224	-3297.5	6938.224	-2675	6938.224	-9832.5
6938.225	-4572.5	6938.225	-7740	6938.225	-3397.5	6938.225	-2582.5	6938.225	-9920
6938.226	-4620	6938.226	-7872.5	6938.226	-3462.5	6938.226	-2742.5	6938.226	-10040
6938.227	-4607.5	6938.227	-8022.5	6938.227	-3475	6938.227	-2685	6938.227	-10015
6938.228	-4635	6938.228	-8075	6938.228	-3452.5	6938.228	-2740	6938.228	-10075
6938.229	-4720	6938.229	-8197.5	6938.229	-3600	6938.229	-2792.5	6938.229	-10042.5
6938.23	-4745	6938.23	-8260	6938.23	-3577.5	6938.23	-2842.5	6938.23	-10077.5
6938.231	-4725	6938.231	-8387.5	6938.231	-3552.5	6938.231	-2812.5	6938.231	-10142.5
6938.232	-4785	6938.232	-8512.5	6938.232	-3677.5	6938.232	-2827.5	6938.232	-10170
6938.233	-4860	6938.233	-8572.5	6938.233	-3702.5	6938.233	-2940	6938.233	-10167.5
6938.234	-4947.5	6938.234	-8765	6938.234	-3852.5	6938.234	-3082.5	6938.234	-10295
6938.235	-5147.5	6938.235	-8865	6938.235	-4017.5	6938.235	-3252.5	6938.235	-10422.5
6938.236	-5292.5	6938.236	-9055	6938.236	-4045	6938.236	-3290	6938.236	-10520
6938.237	-5555	6938.237	-9167.5	6938.237	-4117.5	6938.237	-3280	6938.237	-10677.5
6938.238	-5750	6938.238	-9297.5	6938.238	-4242.5	6938.238	-3315	6938.238	-10805
6938.239	-5900	6938.239	-9392.5	6938.239	-4290	6938.239	-3385	6938.239	-10995
6938.24	-6072.5	6938.24	-9580	6938.24	-4355	6938.24	-3530	6938.24	-11107.5
6938.241	-6220	6938.241	-9705	6938.241	-4400	6938.241	-3632.5	6938.241	-11235
6938.242	-6287.5	6938.242	-9747.5	6938.242	-4400	6938.242	-3645	6938.242	-11265
6938.243	-6447.5	6938.243	-9830	6938.243	-4362.5	6938.243	-3632.5	6938.243	-11320
6938.244	-6432.5	6938.244	-9885	6938.244	-4332.5	6938.244	-3540	6938.244	-11365
6938.245	-6390	6938.245	-9910	6938.245	-4415	6938.245	-3575	6938.245	-11300
6938.246	-6322.5	6938.246	-9880	6938.246	-4345	6938.246	-3535	6938.246	-11212.5
6938.247	-6277.5	6938.247	-9867.5	6938.247	-4352.5	6938.247	-3332.5	6938.247	-11142.5
6938.248	-6210	6938.248	-9877.5	6938.248	-4285	6938.248	-3317.5	6938.248	-11090
6938.249	-6210	6938.249	-9850	6938.249	-4345	6938.249	-3290	6938.249	-11017.5
6938.25	-6092.5	6938.25	-9830	6938.25	-4245	6938.25	-3242.5	6938.25	-10877.5
6938.251	-6070	6938.251	-9790	6938.251	-4287.5	6938.251	-3170	6938.251	-10812.5
6938.252	-6025	6938.252	-9765	6938.252	-4337.5	6938.252	-3262.5	6938.252	-10822.5
6938.253	-6032.5	6938.253	-9775	6938.253	-4297.5	6938.253	-3257.5	6938.253	-10745
6938.254	-6075	6938.254	-9867.5	6938.254	-4332.5	6938.254	-3230	6938.254	-10762.5
6938.255	-6135	6938.255	-9875	6938.255	-4372.5	6938.255	-3315	6938.255	-10845
6938.256	-6257.5	6938.256	-9935	6938.256	-4407.5	6938.256	-3345	6938.256	-10840
6938.257	-6360	6938.257	-9947.5	6938.257	-4452.5	6938.257	-3317.5	6938.257	-10850
6938.258	-6465	6938.258	-10075	6938.258	-4522.5	6938.258	-3397.5	6938.258	-10950
6938.259	-6565	6938.259	-10060	6938.259	-4595	6938.259	-3407.5	6938.259	-11005
6938.26	-6690	6938.26	-10122.5	6938.26	-4555	6938.26	-3485	6938.26	-11112.5
6938.261	-6785	6938.261	-10180	6938.261	-4617.5	6938.261	-3402.5	6938.261	-11152.5
6938.262	-6775	6938.262	-10212.5	6938.262	-4622.5	6938.262	-3312.5	6938.262	-11080
6938.263	-6805	6938.263	-10170	6938.263	-4627.5	6938.263	-3342.5	6938.263	-11010
6938.264	-6792.5	6938.264	-10090	6938.264	-4552.5	6938.264	-3175	6938.264	-11022.5
6938.265	-6640	6938.265	-10050	6938.265	-4500	6938.265	-3077.5	6938.265	-10920
6938.266	-6572.5	6938.266	-9995	6938.266	-4557.5	6938.266	-3037.5	6938.266	-10842.5
6938.267	-6530	6938.267	-9940	6938.267	-4470	6938.267	-2867.5	6938.267	-10752.5
6938.268	-6312.5	6938.268	-9877.5	6938.268	-4417.5	6938.268	-2820	6938.268	-10515
6938.269	-6255	6938.269	-9755	6938.269	-4510	6938.269	-2745	6938.269	-10437.5
6938.27	-6150	6938.27	-9695	6938.27	-4427.5	6938.27	-2607.5	6938.27	-10280
6938.271	-6025	6938.271	-9615	6938.271	-4372.5	6938.271	-2582.5	6938.271	-10197.5
6938.272	-5955	6938.272	-9550	6938.272	-4392.5	6938.272	-2320	6938.272	-10092.5
6938.273	-5925	6938.273	-9560	6938.273	-4395	6938.273	-2435	6938.273	-10022.5
6938.274	-5920	6938.274	-9522.5	6938.274	-4385	6938.274	-2432.5	6938.274	-9915
6938.275	-6002.5	6938.275	-9560	6938.275	-4427.5	6938.275	-2447.5	6938.275	-9995
6938.276	-6057.5	6938.276	-9480	6938.276	-4460	6938.276	-2402.5	6938.276	-9962.5
6938.277	-6077.5	6938.277	-9525	6938.277	-4545	6938.277	-2447.5	6938.277	-10002.5
6938.278	-6207.5	6938.278	-9527.5	6938.278	-4575	6938.278	-2455	6938.278	-10062.5
6938.279	-6267.5	6938.279	-9617.5	6938.279	-4572.5	6938.279	-2492.5	6938.279	-10055
6938.28	-6442.5	6938.28	-9562.5	6938.28	-4560	6938.28	-2410	6938.28	-10097.5
6938.281	-6422.5	6938.281	-9560	6938.281	-4652.5	6938.281	-2357.5	6938.281	-10037.5
6938.282	-6402.5	6938.282	-9500	6938.282	-4642.5	6938.282	-2345	6938.282	-10027.5
6938.283	-6417.5	6938.283	-9485	6938.283	-4660	6938.283	-2097.5	6938.283	-9957.5
6938.284	-6417.5	6938.284	-9485	6938.284	-4587.5	6938.284	-2057.5	6938.284	-9895
6938.285	-6262.5	6938.285	-9367.5	6938.285	-4590	6938.285	-1955	6938.285	-9795
6938.286	-6135	6938.286	-9290	6938.286	-4567.5	6938.286	-1925	6938.286	-9627.5
6938.287	-6025	6938.287	-9225	6938.287	-4607.5	6938.287	-1837.5	6938.287	-9540
6938.288	-5837.5	6938.288	-9090	6938.288	-4482.5	6938.288	-1710	6938.288	-9312.5
6938.289	-5780	6938.289	-9005	6938.289	-4500	6938.289	-1667.5	6938.289	-9292.5
6938.29	-5627.5	6938.29	-8882.5	6938.29	-4355	6938.29	-1507.5	6938.29	-9045
6938.291	-5530	6938.291	-8895	6938.291	-4405	6938.291	-1400	6938.291	-8932.5
6938.292	-5530	6938.292	-8802.5	6938.292	-4397.5	6938.292	-1412.5	6938.292	-8807.5
6938.293	-5412.5	6938.293	-8742.5	6938.293	-4407.5	6938.293	-1410	6938.293	-8722.5
6938.294	-5402.5	6938.294	-8650	6938.294	-4487.5	6938.294	-1365	6938.294	-8637.5
6938.295	-5495	6938.295	-8645	6938.295	-4505	6938.295	-1325	6938.295	-8655
6938.296	-5497.5	6938.296	-8717.5	6938.296	-4497.5	6938.296	-1375	6938.296	-8622.5
6938.297	-5662.5	6938.297	-8690	6938.297	-4670	6938.297	-1372.5	6938.297	-8592.5
6938.298	-5717.5	6938.298	-8735	6938.298	-4667.5	6938.298	-1257.5	6938.298	-8595
6938.299	-5807.5	6938.299	-8707.5	6938.299	-4630	6938.299	-1415	6938.299	-8662.5
6938.3	-5870	6938.3	-8587.5	6938.3	-4722.5	6938.3	-1312.5	6938.3	-8660
6938.301	-5985	6938.301	-8640	6938.301	-4740	6938.301	-1262.5	6938.301	-8650
6938.302	-5990	6938.302	-8592.5	6938.302	-4752.5	6938.302	-1265	6938.302	-8547.5
